,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,did
2,1993,27,63.96665822751736,91.10897229808818,0.6611190011705033,0.2837986734295747,0.0539804916113929,0.0011018337885290675,0.28743503706593837,0.10250799843932891,0.6092204447912603,0.0008365197034724931,0.7507296137339056,0.014042918454935622,0.058078813889972686,0.17714865392118612,0.009445181428014046,0.02566991806476785,0.9648849005072181,0.0,0.005284432305891533,0.0018384705423332033,145.27288836385114,122.52122241086587,320375,0
3,1993,37,55.07585687830255,75.06843219086304,0.7877448676880473,0.13697883223985105,0.07402438543187467,0.0012519146402269947,0.4676206088824958,0.05971525219443777,0.47197540651354325,0.0006887324095231605,0.691297220319041,0.044570313480860775,0.1315945231424851,0.13253794305761318,0.10469808769141918,0.033554182076456475,0.8617477302321244,0.0,0.026821105343774326,0.008741879593791364,55.38946101377558,68.43742306114075,278773,0
4,1993,45,55.7576304532273,68.99348912828772,0.8191998541321623,0.10688617750292495,0.07370124443499004,0.00021272392992265966,0.45219029674988226,0.06251044626441585,0.48476744716089526,0.0005318098248066491,0.6887393068238797,0.04610791181073648,0.14770638019844104,0.1174464011669427,0.11569142874508076,0.024030206798049018,0.8602783644568702,0.0,0.027821251120599275,0.01176059441143847,52.739213544511195,61.588501291989665,131626,0
5,1993,51,66.70070694737251,112.2701524003124,0.6512806539509537,0.18128454651615414,0.16704813805631244,0.0003866614765797327,0.3444453094589334,0.05762553522771507,0.5973660308810173,0.0005631244323342416,0.7167328402750746,0.014456987154534839,0.07034643830284157,0.19846373426754899,0.07687816270922537,0.06647982353704425,0.8566420137537304,0.0,0.01971454521863241,0.013011547943428053,98.18112412794524,108.23853211009174,385350,0
0,1994,01,48.454698031571866,62.03639766117032,0.8025297238798118,0.12287874460761472,0.07229178253092636,0.002299748981647101,0.613867636669723,0.10733665018262713,0.2776533541763742,0.0011423589712756842,0.5911782831547144,0.04346224954531107,0.17898961355198484,0.1863698537479896,0.15197132077740536,0.01909693517112838,0.8289317440514663,0.0,0.05656931563678997,0.023734010732161914,41.236614853195164,45.17796073464218,133058,0
1,1994,13,54.65108829641605,83.28104064615184,0.7157886230793798,0.20383104314733508,0.07740584969043048,0.002974484082854581,0.5988486861091978,0.09353270970497582,0.30689518502984103,0.0007234191559853315,0.5568365034227731,0.04524063306872097,0.14124759020613598,0.25667527330236994,0.16459709785783275,0.03931860072264956,0.7960843014195177,0.0,0.08639086952673765,0.03705214389884445,61.34653244844328,79.03323294215392,259877,0
2,1994,27,55.61704033771599,78.61045649672508,0.7378186404673394,0.21244910603646663,0.04776841033811294,0.0019638431580810763,0.456203531598513,0.20482607541157727,0.3372720835546114,0.001698309435298283,0.6813152770401841,0.029662329615861214,0.10256240042485396,0.18645999291910073,0.016629049389272437,0.033285758541334746,0.9500851920693928,0.0,0.025369534430872722,0.009365595680651442,60.583733100741384,69.96515062020083,180768,0
3,1994,37,48.47577797067638,67.31382676232988,0.8153458443369401,0.10811189791768913,0.07466482818792992,0.0018774295574407753,0.6111072160290417,0.10174343873425414,0.2862145255400531,0.0009348196966510084,0.5939532745954957,0.06845217228727009,0.1763030997063108,0.16129145341092338,0.14168750535573785,0.03598276815692507,0.822329726487337,0.0,0.05874173268830774,0.015186924988509508,44.14707247530005,48.45498845857912,256734,0
4,1994,45,47.635290872817535,60.63544967763086,0.8458092011801989,0.09407967183073729,0.0598253238401856,0.00028580314887822263,0.5983961399762951,0.09834990711397662,0.30240494943806057,0.0008490034716676614,0.5709170078091508,0.07275371333944168,0.20223094575624354,0.15409833309516405,0.16025991274597984,0.033615493893059185,0.806124593360961,0.0,0.06407874717349092,0.01926649462437901,36.02597402597402,41.30191972076789,118963,0
5,1994,51,60.86389641790648,102.07932011331445,0.6648211825625759,0.18475647366030043,0.14979815402343852,0.0006241897536851203,0.5036878903494355,0.11455544023844787,0.3810512241875376,0.0007054452245790413,0.6132313454059265,0.03422332696832145,0.1029654553445786,0.24957987228117348,0.11599587813156738,0.06651868321815986,0.8174854386502728,0.0,0.04060188143349425,0.015002714671413956,81.48339852633494,100.70482520925653,270751,0
