,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total
2,1993,27,64.16446194543230,89.80059677944880,0.6825270522867970,0.262973950920035,0.05344948810728310,0.001049508685884790,0.2876991408433800,0.1123866033303040,0.5989950782844310,0.0009191775418860290,0.7386483288460550,0.014583369060072400,0.06140311765815510,0.1853651844357180,0.009315247028964380,0.025589491194073400,0.8236276645001970,0.14146759727676500,0.005415602009843430,0.0019583969269288200,149.77454084863800,124.00700525394000,291565
3,1993,37,56.53355313014000,76.89129214218900,0.7823009983107970,0.14031190207427700,0.07600211350481540,0.0013849861101104000,0.44452450144502900,0.06478612772293870,0.4899728606768020,0.0007165101552305240,0.7211654698145080,0.03642593526590930,0.11382504343092300,0.12858355148866000,0.09624452610258500,0.03414831359928270,0.793064662039372,0.07654249825876020,0.010319347375331200,0.005656027091289000,75.89992242048100,87.83793347487620,249822
4,1993,45,56.38610114671850,69.45346364230680,0.8186128880098640,0.10663599275080500,0.07452768513997730,0.00022343409935369600,0.43788118271116600,0.06680679570675520,0.4947575740022010,0.0005544475798776910,0.7089812232603170,0.04154219180576130,0.13616239521354500,0.11331418972037600,0.10663599275080500,0.024503272895788700,0.7731812878079460,0.09567944654546060,0.018892594400907000,0.009169073410514640,60.97590889180900,70.45758122743680,120841
5,1993,51,66.23661137274080,109.47179457062700,0.6600637195166710,0.17932492548927500,0.16040580816608200,0.0002055468279719870,0.3389467193258060,0.06463566824741970,0.5958156538591420,0.0006019585676322470,0.7260207602296250,0.013072778259018400,0.06787449897960680,0.19303196253175000,0.07338315396925610,0.06451234015063650,0.7209173261294060,0.14118717975070100,0.01891618093993630,0.014015357284432800,105.65429990686100,111.25539492981400,340555
0,1994,1,48.454698031571900,62.03639766117030,0.8025297238798120,0.12287874460761500,0.07229178253092640,0.002299748981647100,0.613867636669723,0.10733665018262700,0.2776533541763740,0.0011423589712756800,0.5911782831547140,0.04346224954531110,0.17898961355198500,0.1863698537479900,0.15197132077740500,0.01909693517112840,0.7433825850381040,0.08554915901336260,0.05656931563679000,0.023734010732161900,41.236614853195200,45.17796073464220,133058
1,1994,13,54.65108829641610,83.28104064615180,0.7157886230793800,0.20383104314733500,0.07740584969043050,0.002974484082854580,0.5988486861091980,0.09353270970497580,0.30689518502984100,0.0007234191559853320,0.5568365034227730,0.04524063306872100,0.14124759020613600,0.25667527330237000,0.16459709785783300,0.03931860072264960,0.6389060978847690,0.15717820353474900,0.08639086952673770,0.03705214389884450,61.34653244844330,79.03323294215390,259877
2,1994,27,55.61704033771600,78.61045649672510,0.7378186404673390,0.21244910603646700,0.04776841033811290,0.0019638431580810800,0.456203531598513,0.20482607541157700,0.3372720835546110,0.001698309435298280,0.6813152770401840,0.029662329615861200,0.10256240042485400,0.18645999291910100,0.016629049389272400,0.033285758541334700,0.7690354487519920,0.1810497433174010,0.025369534430872700,0.009365595680651440,60.583733100741400,69.96515062020080,180768
3,1994,37,48.47577797067640,67.31382676232990,0.8153458443369400,0.10811189791768900,0.07466482818792990,0.0018774295574407800,0.6111072160290420,0.10174343873425400,0.2862145255400530,0.0009348196966510080,0.5939532745954960,0.06845217228727010,0.1763030997063110,0.16129145341092300,0.14168750535573800,0.03598276815692510,0.7086011202256030,0.11372860626173400,0.05874173268830770,0.015186924988509500,44.14707247530010,48.45498845857910,256734
4,1994,45,47.635290872817500,60.63544967763090,0.8458092011801990,0.09407967183073730,0.0598253238401856,0.00028580314887822300,0.5983961399762950,0.09834990711397660,0.30240494943806100,0.0008490034716676610,0.5709170078091510,0.07275371333944170,0.20223094575624400,0.15409833309516400,0.16025991274598000,0.033615493893059200,0.6913746290863550,0.11474996427460600,0.06407874717349090,0.01926649462437900,36.02597402597400,41.30191972076790,118963
5,1994,51,60.86389641790650,102.07932011331400,0.6648211825625760,0.18475647366030000,0.14979815402343900,0.0006241897536851200,0.5036878903494360,0.11455544023844800,0.3810512241875380,0.0007054452245790410,0.6132313454059270,0.03422332696832150,0.1029654553445790,0.24957987228117300,0.11599587813156700,0.06651868321815990,0.6432626287622210,0.1742228098880520,0.04060188143349430,0.015002714671414000,81.48339852633490,100.70482520925700,270751
