,year,state_code,county_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income
87,1990,1,310,27.0,10.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,1,1,10.0,AL,4050055,146.865,23357
88,1990,1,311,212.645176498437,210.0,1,0,3,0,3,0,1,0,3,0,0,1,1,0,2,1,0,0,0.0,0.0,4,0,4,3,210.0,AL,4050055,146.865,23357
89,1990,1,313,55.0,126.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,1,0,1,0,126.0,AL,4050055,146.865,23357
90,1990,1,315,78.6451764984367,30.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1,0,1,0,30.0,AL,4050055,146.865,23357
91,1990,1,432,92.0,160.0,2,1,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0.0,0.0,3,0,3,3,160.0,AL,4050055,146.865,23357
92,1990,1,551,78.6451764984367,86.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,1,0,1,1,86.0,AL,4050055,146.865,23357
93,1990,1,701,78.6451764984367,60.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1,0,1,0,60.0,AL,4050055,146.865,23357
94,1990,1,704,78.6451764984367,100.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1,0,1,0,100.0,AL,4050055,146.865,23357
95,1990,1,711,114.64517649843701,79.0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0.0,0.0,2,0,2,2,79.0,AL,4050055,146.865,23357
96,1990,1,714,35.0,24.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,1,0,1,0,24.0,AL,4050055,146.865,23357
97,1990,1,727,45.0,8.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,1,1,8.0,AL,4050055,146.865,23357
98,1990,1,732,19.0,36.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,1,0,1,1,36.0,AL,4050055,146.865,23357
99,1990,1,810,8.0,70.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,1,0,1,0,70.0,AL,4050055,146.865,23357
100,1990,1,916,44.0,5.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,0,1,0,5.0,AL,4050055,146.865,23357
101,1990,1,973,78.6451764984367,49.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1,0,1,0,49.0,AL,4050055,146.865,23357
