,year,state,race,sex,age,population
20819,1989,MD,2,2,5,50941
20820,1989,ME,1,1,1,174579
20821,1989,ME,1,1,2,142535
20822,1989,ME,1,1,3,125448
20823,1989,ME,1,1,4,78488
20824,1989,ME,1,1,5,63990
20825,1989,ME,1,2,1,165764
20826,1989,ME,1,2,2,144838
20827,1989,ME,1,2,3,125707
20828,1989,ME,1,2,4,84607
20829,1989,ME,1,2,5,96660
20830,1989,ME,2,1,1,3483
20831,1989,ME,2,1,2,2975
20832,1989,ME,2,1,3,1634
20833,1989,ME,2,1,4,624
20834,1989,ME,2,1,5,266
20835,1989,ME,2,2,1,3326
20836,1989,ME,2,2,2,2472
20837,1989,ME,2,2,3,1569
20838,1989,ME,2,2,4,655
20839,1989,ME,2,2,5,348
20840,1989,MI,1,1,1,1143964
20841,1989,MI,1,1,2,963084
20842,1989,MI,1,1,3,796787
20843,1989,MI,1,1,4,519005
20844,1989,MI,1,1,5,392362
20845,1989,MI,1,2,1,1088034
20846,1989,MI,1,2,2,968252
20847,1989,MI,1,2,3,805354
20848,1989,MI,1,2,4,554339
20849,1989,MI,1,2,5,582296
20850,1989,MI,2,1,1,266195
20851,1989,MI,2,1,2,171555
20852,1989,MI,2,1,3,123656
20853,1989,MI,2,1,4,68386
20854,1989,MI,2,1,5,47133
20855,1989,MI,2,2,1,262999
20856,1989,MI,2,2,2,199982
20857,1989,MI,2,2,3,148066
20858,1989,MI,2,2,4,83270
20859,1989,MI,2,2,5,68620
20860,1989,MN,1,1,1,606828
20861,1989,MN,1,1,2,520047
20862,1989,MN,1,1,3,420781
20863,1989,MN,1,1,4,254172
20864,1989,MN,1,1,5,216227
20865,1989,MN,1,2,1,578085
20866,1989,MN,1,2,2,522432
20867,1989,MN,1,2,3,419098
20868,1989,MN,1,2,4,266068
20869,1989,MN,1,2,5,317913
20870,1989,MN,2,1,1,49083
20871,1989,MN,2,1,2,31054
20872,1989,MN,2,1,3,17897
20873,1989,MN,2,1,4,6821
20874,1989,MN,2,1,5,3258
20875,1989,MN,2,2,1,49406
20876,1989,MN,2,2,2,30038
20877,1989,MN,2,2,3,17072
20878,1989,MN,2,2,4,7379
20879,1989,MN,2,2,5,4377
20880,1989,MO,1,1,1,642382
20881,1989,MO,1,1,2,531023
20882,1989,MO,1,1,3,435290
20883,1989,MO,1,1,4,303185
20884,1989,MO,1,1,5,258547
20885,1989,MO,1,2,1,610224
20886,1989,MO,1,2,2,533852
20887,1989,MO,1,2,3,447529
20888,1989,MO,1,2,4,328499
20889,1989,MO,1,2,5,398985
20890,1989,MO,2,1,1,111239
20891,1989,MO,2,1,2,75208
20892,1989,MO,2,1,3,48250
20893,1989,MO,2,1,4,28541
20894,1989,MO,2,1,5,20109
20895,1989,MO,2,2,1,109068
20896,1989,MO,2,2,2,84804
20897,1989,MO,2,2,3,59738
20898,1989,MO,2,2,4,37145
20899,1989,MO,2,2,5,32215
20900,1989,MS,1,1,1,239050
20901,1989,MS,1,1,2,192377
20902,1989,MS,1,1,3,162139
20903,1989,MS,1,1,4,116451
20904,1989,MS,1,1,5,88813
20905,1989,MS,1,2,1,224264
20906,1989,MS,1,2,2,187576
20907,1989,MS,1,2,3,164107
20908,1989,MS,1,2,4,127133
20909,1989,MS,1,2,5,137592
20910,1989,MS,2,1,1,194731
20911,1989,MS,2,1,2,102113
20912,1989,MS,2,1,3,64560
20913,1989,MS,2,1,4,35877
20914,1989,MS,2,1,5,36206
20915,1989,MS,2,2,1,193331
20916,1989,MS,2,2,2,124170
20917,1989,MS,2,2,3,78508
20918,1989,MS,2,2,4,49910
20919,1989,MS,2,2,5,55398
20920,1989,MT,1,1,1,114834
20921,1989,MT,1,1,2,80207
20922,1989,MT,1,1,3,80367
20923,1989,MT,1,1,4,49713
20924,1989,MT,1,1,5,44248
20925,1989,MT,1,2,1,108189
20926,1989,MT,1,2,2,80970
20927,1989,MT,1,2,3,77900
20928,1989,MT,1,2,4,50788
20929,1989,MT,1,2,5,58203
20930,1989,MT,2,1,1,12554
20931,1989,MT,2,1,2,6847
20932,1989,MT,2,1,3,4324
20933,1989,MT,2,1,4,2053
20934,1989,MT,2,1,5,1078
20935,1989,MT,2,2,1,12003
20936,1989,MT,2,2,2,7010
20937,1989,MT,2,2,3,4533
20938,1989,MT,2,2,4,2441
20939,1989,MT,2,2,5,1395
20940,1989,NC,1,1,1,658740
20941,1989,NC,1,1,2,656185
20942,1989,NC,1,1,3,525745
20943,1989,NC,1,1,4,349748
20944,1989,NC,1,1,5,252961
20945,1989,NC,1,2,1,622493
20946,1989,NC,1,2,2,617417
20947,1989,NC,1,2,3,532210
20948,1989,NC,1,2,4,384995
20949,1989,NC,1,2,5,390792
20950,1989,NC,2,1,1,279896
20951,1989,NC,2,1,2,202961
20952,1989,NC,2,1,3,132544
20953,1989,NC,2,1,4,71033
20954,1989,NC,2,1,5,53168
20955,1989,NC,2,2,1,275470
20956,1989,NC,2,2,2,222734
20957,1989,NC,2,2,3,155439
20958,1989,NC,2,2,4,92522
20959,1989,NC,2,2,5,88493
20960,1989,ND,1,1,1,95061
20961,1989,ND,1,1,2,76149
20962,1989,ND,1,1,3,58231
20963,1989,ND,1,1,4,38552
20964,1989,ND,1,1,5,38071
20965,1989,ND,1,2,1,89538
20966,1989,ND,1,2,2,71642
20967,1989,ND,1,2,3,54843
20968,1989,ND,1,2,4,40294
20969,1989,ND,1,2,5,51235
20970,1989,ND,2,1,1,8052
20971,1989,ND,2,1,2,4526
20972,1989,ND,2,1,3,2287
20973,1989,ND,2,1,4,985
20974,1989,ND,2,1,5,482
20975,1989,ND,2,2,1,7399
20976,1989,ND,2,2,2,4612
20977,1989,ND,2,2,3,2535
20978,1989,ND,2,2,4,1200
20979,1989,ND,2,2,5,665
20980,1989,NE,1,1,1,227047
20981,1989,NE,1,1,2,175038
20982,1989,NE,1,1,3,143692
20983,1989,NE,1,1,4,95399
20984,1989,NE,1,1,5,86830
20985,1989,NE,1,2,1,216570
20986,1989,NE,1,2,2,173332
20987,1989,NE,1,2,3,143594
20988,1989,NE,1,2,4,101531
20989,1989,NE,1,2,5,130278
20990,1989,NE,2,1,1,17053
20991,1989,NE,2,1,2,11129
20992,1989,NE,2,1,3,6323
20993,1989,NE,2,1,4,3293
20994,1989,NE,2,1,5,1805
20995,1989,NE,2,2,1,16300
20996,1989,NE,2,2,2,11712
20997,1989,NE,2,2,3,7342
20998,1989,NE,2,2,4,3861
20999,1989,NE,2,2,5,2719
21000,1989,NH,1,1,1,155629
21001,1989,NH,1,1,2,141402
21002,1989,NH,1,1,3,119589
21003,1989,NH,1,1,4,66689
21004,1989,NH,1,1,5,48834
21005,1989,NH,1,2,1,149844
21006,1989,NH,1,2,2,142942
21007,1989,NH,1,2,3,118204
21008,1989,NH,1,2,4,69450
21009,1989,NH,1,2,5,73735
21010,1989,NH,2,1,1,3207
21011,1989,NH,2,1,2,3292
21012,1989,NH,2,1,3,1917
21013,1989,NH,2,1,4,718
21014,1989,NH,2,1,5,257
21015,1989,NH,2,2,1,3096
21016,1989,NH,2,2,2,2849
21017,1989,NH,2,2,3,1890
21018,1989,NH,2,2,4,656
21019,1989,NH,2,2,5,319
21020,1989,NJ,1,1,1,815254
21021,1989,NJ,1,1,2,787580
21022,1989,NJ,1,1,3,664091
21023,1989,NJ,1,1,4,457766
21024,1989,NJ,1,1,5,368381
21025,1989,NJ,1,2,1,773096
21026,1989,NJ,1,2,2,778772
21027,1989,NJ,1,2,3,686118
21028,1989,NJ,1,2,4,499074
21029,1989,NJ,1,2,5,559751
21030,1989,NJ,2,1,1,227112
21031,1989,NJ,2,1,2,180057
21032,1989,NJ,2,1,3,128401
21033,1989,NJ,2,1,4,68673
21034,1989,NJ,2,1,5,33754
21035,1989,NJ,2,2,1,220334
21036,1989,NJ,2,2,2,194277
21037,1989,NJ,2,2,3,148820
21038,1989,NJ,2,2,4,81315
21039,1989,NJ,2,2,5,53488
21040,1989,NM,1,1,1,213560
21041,1989,NM,1,1,2,158769
21042,1989,NM,1,1,3,132823
21043,1989,NM,1,1,4,82518
21044,1989,NM,1,1,5,64181
21045,1989,NM,1,2,1,204228
21046,1989,NM,1,2,2,158746
21047,1989,NM,1,2,3,135040
21048,1989,NM,1,2,4,88942
21049,1989,NM,1,2,5,84328
21050,1989,NM,2,1,1,39052
21051,1989,NM,2,1,2,23813
21052,1989,NM,2,1,3,14309
21053,1989,NM,2,1,4,6701
21054,1989,NM,2,1,5,4224
21055,1989,NM,2,2,1,38774
21056,1989,NM,2,2,2,24218
21057,1989,NM,2,2,3,15806
21058,1989,NM,2,2,4,8508
21059,1989,NM,2,2,5,5396
21060,1989,NV,1,1,1,136355
21061,1989,NV,1,1,2,137287
21062,1989,NV,1,1,3,114592
21063,1989,NV,1,1,4,74518
21064,1989,NV,1,1,5,52190
21065,1989,NV,1,2,1,129213
21066,1989,NV,1,2,2,124826
21067,1989,NV,1,2,3,105425
21068,1989,NV,1,2,4,70783
21069,1989,NV,1,2,5,61534
21070,1989,NV,2,1,1,23368
21071,1989,NV,2,1,2,19499
21072,1989,NV,2,1,3,12426
21073,1989,NV,2,1,4,6381
21074,1989,NV,2,1,5,2925
21075,1989,NV,2,2,1,22285
21076,1989,NV,2,2,2,18873
21077,1989,NV,2,2,3,14154
21078,1989,NV,2,2,4,7214
21079,1989,NV,2,2,5,3543
21080,1989,NY,1,1,1,1860478
21081,1989,NY,1,1,2,1762083
21082,1989,NY,1,1,3,1424887
21083,1989,NY,1,1,4,986589
21084,1989,NY,1,1,5,806409
21085,1989,NY,1,2,1,1766365
21086,1989,NY,1,2,2,1762758
21087,1989,NY,1,2,3,1488870
21088,1989,NY,1,2,4,1094979
21089,1989,NY,1,2,5,1259324
21090,1989,NY,2,1,1,623439
21091,1989,NY,2,1,2,510547
21092,1989,NY,2,1,3,350741
21093,1989,NY,2,1,4,191876
21094,1989,NY,2,1,5,97565
21095,1989,NY,2,2,1,611084
21096,1989,NY,2,2,2,552373
21097,1989,NY,2,2,3,417985
21098,1989,NY,2,2,4,247368
21099,1989,NY,2,2,5,167362
