,year,state,race,sex,age,state_fips,population
20742,1989,KY,1,1,3,7560,338594
20743,1989,KY,1,1,4,7560,222909
20744,1989,KY,1,1,5,12600,172510
20745,1989,KY,1,2,1,12600,476572
20746,1989,KY,1,2,2,7560,415259
20747,1989,KY,1,2,3,7560,348749
20748,1989,KY,1,2,4,7560,244544
20749,1989,KY,1,2,5,12600,261114
20750,1989,KY,2,1,1,18606,52346
20751,1989,KY,2,1,2,11844,37258
20752,1989,KY,2,1,3,11571,22540
20753,1989,KY,2,1,4,10248,13343
20754,1989,KY,2,1,5,13167,10596
20755,1989,KY,2,2,1,18564,49539
20756,1989,KY,2,2,2,11949,39501
20757,1989,KY,2,2,3,12180,26862
20758,1989,KY,2,2,4,11172,16715
20759,1989,KY,2,2,5,14175,16916
20760,1989,LA,1,1,1,7040,435207
20761,1989,LA,1,1,2,4224,356389
20762,1989,LA,1,1,3,4224,289350
20763,1989,LA,1,1,4,4224,190272
20764,1989,LA,1,1,5,7040,138483
20765,1989,LA,1,2,1,7040,416126
20766,1989,LA,1,2,2,4224,352706
20767,1989,LA,1,2,3,4224,290463
20768,1989,LA,1,2,4,4224,207248
20769,1989,LA,1,2,5,7040,211335
20770,1989,LA,2,1,1,13068,274993
20771,1989,LA,2,1,2,8030,158649
20772,1989,LA,2,1,3,8030,102684
20773,1989,LA,2,1,4,7590,57627
20774,1989,LA,2,1,5,10582,44549
20775,1989,LA,2,2,1,13112,271999
20776,1989,LA,2,2,2,7898,183508
20777,1989,LA,2,2,3,8206,126583
20778,1989,LA,2,2,4,7898,76210
20779,1989,LA,2,2,5,10890,68577
20780,1989,MA,1,1,1,1750,711017
20781,1989,MA,1,1,2,1050,736015
20782,1989,MA,1,1,3,1050,555994
20783,1989,MA,1,1,4,1050,354485
20784,1989,MA,1,1,5,1750,297998
20785,1989,MA,1,2,1,1750,681157
20786,1989,MA,1,2,2,1050,746924
20787,1989,MA,1,2,3,1050,578693
20788,1989,MA,1,2,4,1050,392811
20789,1989,MA,1,2,5,1750,486657
20790,1989,MA,2,1,1,3425,84269
20791,1989,MA,2,1,2,2100,74281
20792,1989,MA,2,1,3,2050,42794
20793,1989,MA,2,1,4,2025,19244
